station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
EZE00100082,1776-01-01,TMAX,-2.4,27.68,1,EZE
ITE00100554,1776-01-01,TMAX,1.3,34.34,1,ITE
EZE00100082,1776-01-02,TMAX,-3.1,26.42,1,EZE
ITE00100554,1776-01-02,TMAX,1.6,34.88,1,ITE
EZE00100082,1776-01-03,TMAX,-2.8,26.96,1,EZE
ITE00100554,1776-01-03,TMAX,2.3,36.14,1,ITE
EZE00100082,1776-01-04,TMAX,-5.5,22.1,1,EZE
ITE00100554,1776-01-04,TMAX,0.4,32.72,1,ITE
EZE00100082,1776-01-05,TMAX,-2.6,27.32,1,EZE
ITE00100554,1776-01-05,TMAX,1.6,34.88,1,ITE
ITE00100554,1776-01-06,TMAX,1.0,33.8,1,ITE
EZE00100082,1776-01-06,TMAX,-2.5,27.5,1,EZE
EZE00100082,1776-01-07,TMAX,-2.6,27.32,1,EZE
ITE00100554,1776-01-07,TMAX,1.1,33.98,1,ITE
EZE00100082,1776-01-08,TMAX,0.0,32.0,1,EZE
ITE00100554,1776-01-08,TMAX,1.1,33.98,1,ITE
EZE00100082,1776-01-09,TMAX,-0.9,30.38,1,EZE
ITE00100554,1776-01-09,TMAX,2.2,35.96,1,ITE
EZE00100082,1776-01-10,TMAX,0.0,32.0,1,EZE
ITE00100554,1776-01-10,TMAX,2.6,36.68,1,ITE
ITE00100554,1776-01-11,TMAX,4.0,39.2,1,ITE
EZE00100082,1776-01-11,TMAX,2.2,35.96,1,EZE
EZE00100082,1776-01-12,TMAX,0.5,32.9,1,EZE
ITE00100554,1776-01-12,TMAX,2.6,36.68,1,ITE
EZE00100082,1776-01-13,TMAX,-1.4,29.48,1,EZE
ITE00100554,1776-01-13,TMAX,3.1,37.58,1,ITE
EZE00100082,1776-01-14,TMAX,-3.8,25.16,1,EZE
ITE00100554,1776-01-14,TMAX,3.9,39.019999999999996,1,ITE
EZE00100082,1776-01-15,TMAX,-6.6,20.12,1,EZE
ITE00100554,1776-01-15,TMAX,3.7,38.66,1,ITE
ITE00100554,1776-01-16,TMAX,2.7,36.86,1,ITE
EZE00100082,1776-01-16,TMAX,-6.0,21.2,1,EZE
EZE00100082,1776-01-17,TMAX,-3.5,25.7,1,EZE
ITE00100554,1776-01-17,TMAX,2.7,36.86,1,ITE
EZE00100082,1776-01-18,TMAX,-6.0,21.2,1,EZE
ITE00100554,1776-01-18,TMAX,3.2,37.76,1,ITE
