station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100550,1865-01-01,TMAX,2.0,35.6,1,ITE
SZ000006717,1865-01-01,TMAX,-8.3,17.06,1,SZ
UK000056225,1865-01-01,TMAX,0.9,33.62,1,UK
ASN00090015,1865-01-01,TMAX,22.2,71.96000000000001,1,ASN
GM000004204,1865-01-01,TMAX,-3.6,25.52,1,GM
AU000005901,1865-01-01,TMAX,-2.8,26.96,1,AU
ASN00066062,1865-01-01,TMAX,24.7,76.46000000000001,1,ASN
UK000047811,1865-01-01,TMAX,3.0,37.4,1,UK
EZE00100082,1865-01-01,TMAX,-4.9,23.18,1,EZE
GME00125218,1865-01-01,TMAX,-3.0,26.6,1,GME
BE000006447,1865-01-01,TMAX,-1.5,29.3,1,BE
EIE00101859,1865-01-01,TMAX,2.2,35.96,1,EIE
CA006158350,1865-01-01,TMAX,-5.0,23.0,1,CA
ASN00086071,1865-01-01,TMAX,23.9,75.02,1,ASN
ITE00100554,1865-01-01,TMAX,1.2,34.16,1,ITE
AU000005901,1865-01-02,TMAX,-2.0,28.4,1,AU
SZ000006717,1865-01-02,TMAX,-8.0,17.6,1,SZ
UK000056225,1865-01-02,TMAX,7.6,45.68,1,UK
ASN00090015,1865-01-02,TMAX,21.1,69.98,1,ASN
CA006148100,1865-01-02,TMAX,-3.9,24.98,1,CA
UK000047811,1865-01-02,TMAX,3.6,38.480000000000004,1,UK
GM000004204,1865-01-02,TMAX,-6.3,20.66,1,GM
ASN00066062,1865-01-02,TMAX,27.2,80.96000000000001,1,ASN
BE000006447,1865-01-02,TMAX,-0.2,31.64,1,BE
EZE00100082,1865-01-02,TMAX,-4.8,23.36,1,EZE
GME00125218,1865-01-02,TMAX,-6.4,20.479999999999997,1,GME
EIE00101859,1865-01-02,TMAX,7.2,44.96,1,EIE
CA006158350,1865-01-02,TMAX,-1.7,28.94,1,CA
ASN00086071,1865-01-02,TMAX,19.2,66.56,1,ASN
ITE00100550,1865-01-02,TMAX,2.9,37.22,1,ITE
ITE00100554,1865-01-02,TMAX,3.2,37.76,1,ITE
ASN00066062,1865-01-03,TMAX,23.2,73.75999999999999,1,ASN
SZ000006717,1865-01-03,TMAX,-10.7,12.740000000000002,1,SZ
UK000056225,1865-01-03,TMAX,9.2,48.56,1,UK
