station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
CA006153192,1866-01-05,TMAX,-1.1,30.02,1,CA
CA006158350,1866-01-05,TMAX,-9.4,15.079999999999998,1,CA
ASN00086071,1866-01-05,TMAX,33.3,91.94,1,ASN
CA006150689,1866-01-05,TMAX,-15.6,3.9200000000000017,1,CA
ITE00100550,1866-01-05,TMAX,5.5,41.9,1,ITE
GME00125218,1866-01-05,TMAX,2.6,36.68,1,GME
ASN00066062,1866-01-06,TMAX,23.9,75.02,1,ASN
AU000005901,1866-01-06,TMAX,1.4,34.52,1,AU
GM000004204,1866-01-06,TMAX,1.3,34.34,1,GM
UK000047811,1866-01-06,TMAX,7.8,46.04,1,UK
SZ000006717,1866-01-06,TMAX,-3.1,26.42,1,SZ
CA006148100,1866-01-06,TMAX,-8.3,17.06,1,CA
ASN00090015,1866-01-06,TMAX,36.7,98.06,1,ASN
UK000056225,1866-01-06,TMAX,10.5,50.900000000000006,1,UK
USC00288878,1866-01-06,TMAX,-3.3,26.060000000000002,1,USC
ITE00100554,1866-01-06,TMAX,5.6,42.08,1,ITE
AGE00135039,1866-01-06,TMAX,14.5,58.1,1,AGE
GME00125218,1866-01-06,TMAX,1.0,33.8,1,GME
EZE00100082,1866-01-06,TMAX,2.8,37.04,1,EZE
CA006150689,1866-01-06,TMAX,-15.0,5.0,1,CA
ASN00086071,1866-01-06,TMAX,36.1,96.98,1,ASN
CA006158350,1866-01-06,TMAX,-14.4,6.079999999999998,1,CA
ITE00100550,1866-01-06,TMAX,3.8,38.84,1,ITE
EIE00101859,1866-01-06,TMAX,8.9,48.019999999999996,1,EIE
CA006110549,1866-01-06,TMAX,-16.1,3.019999999999996,1,CA
BE000006447,1866-01-06,TMAX,6.3,43.34,1,BE
CA006153192,1866-01-06,TMAX,-7.2,19.04,1,CA
AU000005901,1866-01-07,TMAX,-0.3,31.46,1,AU
SZ000006717,1866-01-07,TMAX,-1.9,28.58,1,SZ
UK000056225,1866-01-07,TMAX,8.7,47.66,1,UK
ASN00090015,1866-01-07,TMAX,21.1,69.98,1,ASN
UK000047811,1866-01-07,TMAX,8.9,48.019999999999996,1,UK
GM000004204,1866-01-07,TMAX,2.0,35.6,1,GM
ASN00066062,1866-01-07,TMAX,24.0,75.2,1,ASN
USC00288878,1866-01-07,TMAX,-6.7,19.939999999999998,1,USC
EZE00100082,1866-01-07,TMAX,-2.0,28.4,1,EZE
GME00125218,1866-01-07,TMAX,2.3,36.14,1,GME
BE000006447,1866-01-07,TMAX,9.2,48.56,1,BE
EIE00101859,1866-01-07,TMAX,8.3,46.94,1,EIE
ITE00100554,1866-01-07,TMAX,4.6,40.28,1,ITE
CA006158350,1866-01-07,TMAX,-21.1,-5.980000000000004,1,CA
ASN00086071,1866-01-07,TMAX,28.9,84.02,1,ASN
ITE00100550,1866-01-07,TMAX,3.8,38.84,1,ITE
AU000005901,1866-01-08,TMAX,-1.5,29.3,1,AU
GM000004204,1866-01-08,TMAX,6.5,43.7,1,GM
UK000047811,1866-01-08,TMAX,4.4,39.92,1,UK
USC00288878,1866-01-08,TMAX,-13.3,8.059999999999999,1,USC
