station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
EZE00100082,1777-01-01,TMAX,-5.8,21.560000000000002,1,EZE
ITE00100554,1777-01-01,TMAX,-0.6,30.92,1,ITE
EZE00100082,1777-01-02,TMAX,-4.5,23.9,1,EZE
ITE00100554,1777-01-02,TMAX,1.6,34.88,1,ITE
EZE00100082,1777-01-03,TMAX,-3.0,26.6,1,EZE
ITE00100554,1777-01-03,TMAX,0.8,33.44,1,ITE
EZE00100082,1777-01-04,TMAX,-5.0,23.0,1,EZE
ITE00100554,1777-01-04,TMAX,0.2,32.36,1,ITE
EZE00100082,1777-01-05,TMAX,-1.7,28.94,1,EZE
ITE00100554,1777-01-05,TMAX,-5.3,22.46,1,ITE
ITE00100554,1777-01-06,TMAX,-4.3,24.259999999999998,1,ITE
EZE00100082,1777-01-06,TMAX,-1.1,30.02,1,EZE
EZE00100082,1777-01-07,TMAX,-2.0,28.4,1,EZE
ITE00100554,1777-01-07,TMAX,-6.7,19.939999999999998,1,ITE
EZE00100082,1777-01-08,TMAX,-4.7,23.54,1,EZE
ITE00100554,1777-01-08,TMAX,-4.8,23.36,1,ITE
EZE00100082,1777-01-09,TMAX,-4.1,24.62,1,EZE
ITE00100554,1777-01-09,TMAX,-5.0,23.0,1,ITE
EZE00100082,1777-01-10,TMAX,-2.0,28.4,1,EZE
ITE00100554,1777-01-10,TMAX,-5.6,21.92,1,ITE
ITE00100554,1777-01-11,TMAX,-3.6,25.52,1,ITE
EZE00100082,1777-01-11,TMAX,2.0,35.6,1,EZE
ITE00100554,1777-01-12,TMAX,-5.1,22.82,1,ITE
EZE00100082,1777-01-12,TMAX,6.2,43.16,1,EZE
EZE00100082,1777-01-13,TMAX,5.0,41.0,1,EZE
ITE00100554,1777-01-13,TMAX,-0.9,30.38,1,ITE
EZE00100082,1777-01-14,TMAX,3.9,39.019999999999996,1,EZE
ITE00100554,1777-01-14,TMAX,2.4,36.32,1,ITE
EZE00100082,1777-01-15,TMAX,2.4,36.32,1,EZE
ITE00100554,1777-01-15,TMAX,-0.5,31.1,1,ITE
EZE00100082,1777-01-16,TMAX,1.7,35.06,1,EZE
ITE00100554,1777-01-16,TMAX,0.5,32.9,1,ITE
EZE00100082,1777-01-17,TMAX,-3.0,26.6,1,EZE
ITE00100554,1777-01-17,TMAX,1.2,34.16,1,ITE
ITE00100554,1777-01-18,TMAX,-4.8,23.36,1,ITE
EZE00100082,1777-01-18,TMAX,-3.8,25.16,1,EZE
EZE00100082,1777-01-19,TMAX,-2.0,28.4,1,EZE
ITE00100554,1777-01-19,TMAX,-4.5,23.9,1,ITE
EZE00100082,1777-01-20,TMAX,0.5,32.9,1,EZE
ITE00100554,1777-01-20,TMAX,-3.1,26.42,1,ITE
EZE00100082,1777-01-21,TMAX,0.0,32.0,1,EZE
ITE00100554,1777-01-21,TMAX,-2.5,27.5,1,ITE
EZE00100082,1777-01-22,TMAX,0.8,33.44,1,EZE
ITE00100554,1777-01-22,TMAX,0.4,32.72,1,ITE
ITE00100554,1777-01-23,TMAX,2.3,36.14,1,ITE
EZE00100082,1777-01-23,TMAX,2.3,36.14,1,EZE
EZE00100082,1777-01-24,TMAX,2.1,35.78,1,EZE
ITE00100554,1777-01-24,TMAX,1.0,33.8,1,ITE
EZE00100082,1777-01-25,TMAX,1.6,34.88,1,EZE
ITE00100554,1777-01-25,TMAX,3.2,37.76,1,ITE
EZE00100082,1777-01-26,TMAX,0.5,32.9,1,EZE
ITE00100554,1777-01-26,TMAX,4.8,40.64,1,ITE
EZE00100082,1777-01-27,TMAX,2.7,36.86,1,EZE
ITE00100554,1777-01-27,TMAX,3.8,38.84,1,ITE
ITE00100554,1777-01-28,TMAX,2.3,36.14,1,ITE
EZE00100082,1777-01-28,TMAX,2.7,36.86,1,EZE
EZE00100082,1777-01-29,TMAX,2.3,36.14,1,EZE
ITE00100554,1777-01-29,TMAX,0.1,32.18,1,ITE
EZE00100082,1777-01-30,TMAX,0.5,32.9,1,EZE
ITE00100554,1777-01-30,TMAX,-0.2,31.64,1,ITE
EZE00100082,1777-01-31,TMAX,-1.0,30.2,1,EZE
ITE00100554,1777-01-31,TMAX,-0.3,31.46,1,ITE
EZE00100082,1777-02-01,TMAX,-3.5,25.7,2,EZE
ITE00100554,1777-02-01,TMAX,-0.1,31.82,2,ITE
EZE00100082,1777-02-02,TMAX,-0.9,30.38,2,EZE
ITE00100554,1777-02-02,TMAX,-1.3,29.66,2,ITE
ITE00100554,1777-02-03,TMAX,0.7,33.26,2,ITE
EZE00100082,1777-02-03,TMAX,-1.1,30.02,2,EZE
EZE00100082,1777-02-04,TMAX,2.5,36.5,2,EZE
ITE00100554,1777-02-04,TMAX,-0.1,31.82,2,ITE
EZE00100082,1777-02-05,TMAX,2.1,35.78,2,EZE
ITE00100554,1777-02-05,TMAX,-0.5,31.1,2,ITE
EZE00100082,1777-02-06,TMAX,-2.3,27.86,2,EZE
ITE00100554,1777-02-06,TMAX,2.1,35.78,2,ITE
EZE00100082,1777-02-07,TMAX,-0.3,31.46,2,EZE
ITE00100554,1777-02-07,TMAX,2.2,35.96,2,ITE
ITE00100554,1777-02-08,TMAX,2.0,35.6,2,ITE
EZE00100082,1777-02-08,TMAX,2.8,37.04,2,EZE
ITE00100554,1777-02-09,TMAX,3.2,37.76,2,ITE
EZE00100082,1777-02-09,TMAX,2.8,37.04,2,EZE
EZE00100082,1777-02-10,TMAX,3.9,39.019999999999996,2,EZE
ITE00100554,1777-02-10,TMAX,3.0,37.4,2,ITE
EZE00100082,1777-02-11,TMAX,4.9,40.82,2,EZE
ITE00100554,1777-02-11,TMAX,2.7,36.86,2,ITE
EZE00100082,1777-02-12,TMAX,3.0,37.4,2,EZE
ITE00100554,1777-02-12,TMAX,2.6,36.68,2,ITE
EZE00100082,1777-02-13,TMAX,1.2,34.16,2,EZE
ITE00100554,1777-02-13,TMAX,1.6,34.88,2,ITE
EZE00100082,1777-02-14,TMAX,-0.3,31.46,2,EZE
ITE00100554,1777-02-14,TMAX,3.9,39.019999999999996,2,ITE
ITE00100554,1777-02-15,TMAX,2.4,36.32,2,ITE
EZE00100082,1777-02-15,TMAX,0.0,32.0,2,EZE
EZE00100082,1777-02-16,TMAX,0.9,33.62,2,EZE
ITE00100554,1777-02-16,TMAX,1.8,35.24,2,ITE
EZE00100082,1777-02-17,TMAX,-0.6,30.92,2,EZE
ITE00100554,1777-02-17,TMAX,2.5,36.5,2,ITE
EZE00100082,1777-02-18,TMAX,-2.9,26.78,2,EZE
ITE00100554,1777-02-18,TMAX,4.5,40.1,2,ITE
EZE00100082,1777-02-19,TMAX,-1.4,29.48,2,EZE
ITE00100554,1777-02-19,TMAX,2.8,37.04,2,ITE
ITE00100554,1777-02-20,TMAX,3.3,37.94,2,ITE
EZE00100082,1777-02-20,TMAX,-1.5,29.3,2,EZE
EZE00100082,1777-02-21,TMAX,2.2,35.96,2,EZE
ITE00100554,1777-02-21,TMAX,2.9,37.22,2,ITE
EZE00100082,1777-02-22,TMAX,3.8,38.84,2,EZE
ITE00100554,1777-02-22,TMAX,3.9,39.019999999999996,2,ITE
EZE00100082,1777-02-23,TMAX,4.6,40.28,2,EZE
ITE00100554,1777-02-23,TMAX,5.2,41.36,2,ITE
EZE00100082,1777-02-24,TMAX,7.0,44.6,2,EZE
ITE00100554,1777-02-24,TMAX,5.7,42.26,2,ITE
EZE00100082,1777-02-25,TMAX,7.3,45.14,2,EZE
ITE00100554,1777-02-25,TMAX,7.3,45.14,2,ITE
ITE00100554,1777-02-26,TMAX,7.7,45.86,2,ITE
EZE00100082,1777-02-26,TMAX,3.4,38.12,2,EZE
EZE00100082,1777-02-27,TMAX,3.4,38.12,2,EZE
ITE00100554,1777-02-27,TMAX,6.8,44.24,2,ITE
EZE00100082,1777-02-28,TMAX,4.9,40.82,2,EZE
ITE00100554,1777-02-28,TMAX,7.8,46.04,2,ITE
EZE00100082,1777-03-01,TMAX,4.9,40.82,3,EZE
ITE00100554,1777-03-01,TMAX,11.1,51.980000000000004,3,ITE
EZE00100082,1777-03-02,TMAX,4.0,39.2,3,EZE
ITE00100554,1777-03-02,TMAX,12.1,53.78,3,ITE
ITE00100554,1777-03-03,TMAX,12.6,54.68,3,ITE
EZE00100082,1777-03-03,TMAX,5.1,41.18,3,EZE
ITE00100554,1777-03-04,TMAX,10.6,51.08,3,ITE
EZE00100082,1777-03-04,TMAX,5.1,41.18,3,EZE
EZE00100082,1777-03-05,TMAX,3.3,37.94,3,EZE
ITE00100554,1777-03-05,TMAX,10.8,51.44,3,ITE
EZE00100082,1777-03-06,TMAX,1.0,33.8,3,EZE
ITE00100554,1777-03-06,TMAX,11.6,52.879999999999995,3,ITE
EZE00100082,1777-03-07,TMAX,-1.0,30.2,3,EZE
ITE00100554,1777-03-07,TMAX,13.1,55.58,3,ITE
EZE00100082,1777-03-08,TMAX,2.7,36.86,3,EZE
ITE00100554,1777-03-08,TMAX,8.4,47.120000000000005,3,ITE
ITE00100554,1777-03-09,TMAX,6.0,42.8,3,ITE
EZE00100082,1777-03-09,TMAX,2.0,35.6,3,EZE
ITE00100554,1777-03-10,TMAX,7.1,44.78,3,ITE
EZE00100082,1777-03-10,TMAX,9.6,49.28,3,EZE
EZE00100082,1777-03-11,TMAX,4.0,39.2,3,EZE
ITE00100554,1777-03-11,TMAX,6.5,43.7,3,ITE
EZE00100082,1777-03-12,TMAX,3.0,37.4,3,EZE
ITE00100554,1777-03-12,TMAX,7.3,45.14,3,ITE
EZE00100082,1777-03-13,TMAX,1.7,35.06,3,EZE
ITE00100554,1777-03-13,TMAX,11.2,52.16,3,ITE
EZE00100082,1777-03-14,TMAX,1.8,35.24,3,EZE
ITE00100554,1777-03-14,TMAX,11.7,53.06,3,ITE
EZE00100082,1777-03-15,TMAX,2.7,36.86,3,EZE
ITE00100554,1777-03-15,TMAX,12.3,54.14,3,ITE
ITE00100554,1777-03-16,TMAX,9.8,49.64,3,ITE
EZE00100082,1777-03-16,TMAX,3.5,38.3,3,EZE
EZE00100082,1777-03-17,TMAX,10.8,51.44,3,EZE
ITE00100554,1777-03-17,TMAX,13.0,55.400000000000006,3,ITE
EZE00100082,1777-03-18,TMAX,11.0,51.8,3,EZE
ITE00100554,1777-03-18,TMAX,14.1,57.379999999999995,3,ITE
EZE00100082,1777-03-19,TMAX,15.3,59.540000000000006,3,EZE
ITE00100554,1777-03-19,TMAX,14.1,57.379999999999995,3,ITE
EZE00100082,1777-03-20,TMAX,12.6,54.68,3,EZE
ITE00100554,1777-03-20,TMAX,17.7,63.86,3,ITE
ITE00100554,1777-03-21,TMAX,17.1,62.78,3,ITE
EZE00100082,1777-03-21,TMAX,9.6,49.28,3,EZE
EZE00100082,1777-03-22,TMAX,7.5,45.5,3,EZE
ITE00100554,1777-03-22,TMAX,16.4,61.519999999999996,3,ITE
EZE00100082,1777-03-23,TMAX,6.6,43.879999999999995,3,EZE
ITE00100554,1777-03-23,TMAX,15.8,60.44,3,ITE
EZE00100082,1777-03-24,TMAX,6.2,43.16,3,EZE
ITE00100554,1777-03-24,TMAX,15.8,60.44,3,ITE
EZE00100082,1777-03-25,TMAX,13.0,55.400000000000006,3,EZE
ITE00100554,1777-03-25,TMAX,15.2,59.36,3,ITE
ITE00100554,1777-03-26,TMAX,15.1,59.18,3,ITE
EZE00100082,1777-03-26,TMAX,13.2,55.76,3,EZE
EZE00100082,1777-03-27,TMAX,17.3,63.14,3,EZE
ITE00100554,1777-03-27,TMAX,15.4,59.72,3,ITE
EZE00100082,1777-03-28,TMAX,18.4,65.12,3,EZE
ITE00100554,1777-03-28,TMAX,16.8,62.24,3,ITE
EZE00100082,1777-03-29,TMAX,10.8,51.44,3,EZE
ITE00100554,1777-03-29,TMAX,18.3,64.94,3,ITE
EZE00100082,1777-03-30,TMAX,6.3,43.34,3,EZE
ITE00100554,1777-03-30,TMAX,15.3,59.540000000000006,3,ITE
EZE00100082,1777-03-31,TMAX,9.1,48.379999999999995,3,EZE
ITE00100554,1777-03-31,TMAX,15.3,59.540000000000006,3,ITE
ITE00100554,1777-04-01,TMAX,15.7,60.26,4,ITE
EZE00100082,1777-04-01,TMAX,5.0,41.0,4,EZE
ITE00100554,1777-04-02,TMAX,14.8,58.64,4,ITE
EZE00100082,1777-04-02,TMAX,6.3,43.34,4,EZE
EZE00100082,1777-04-03,TMAX,7.4,45.32,4,EZE
ITE00100554,1777-04-03,TMAX,14.7,58.46,4,ITE
EZE00100082,1777-04-04,TMAX,3.9,39.019999999999996,4,EZE
ITE00100554,1777-04-04,TMAX,12.4,54.32,4,ITE
